".smooth",".type",".by",".estimate",".se","log_ircw_z","timeindex","region",".lower_ci",".upper_ci"
"s(timeindex):regionchungbuk","TPRS","region",-0.979312328601779,0.117441677487505,NA,26.6262626262626,"chungbuk",-1.20949378676126,-0.7491308704423
"s(timeindex):regionchungbuk","TPRS","region",-1.0840327931956,0.116501383403259,NA,27.2222222222222,"chungbuk",-1.31237130881508,-0.855694277576123
"s(timeindex):regionchungbuk","TPRS","region",-1.17566989399763,0.116960381263762,NA,27.8181818181818,"chungbuk",-1.40490802889267,-0.94643175910258
"s(timeindex):regionchungbuk","TPRS","region",-1.26331930781695,0.118323657692833,NA,28.4141414141414,"chungbuk",-1.49522941541394,-1.03140920021995
"s(timeindex):regionchungbuk","TPRS","region",-1.35384994284261,0.119227569813331,NA,29.010101010101,"chungbuk",-1.58753168564098,-1.12016820004425
"s(timeindex):regionchungbuk","TPRS","region",-1.45127160465076,0.11880807755514,NA,29.6060606060606,"chungbuk",-1.68413115773127,-1.21841205157024
"s(timeindex):regionchungbuk","TPRS","region",-1.5541225542466,0.118174768550256,NA,30.2020202020202,"chungbuk",-1.78574084448646,-1.32250426400674
"s(timeindex):regionchungbuk","TPRS","region",-1.65758413919111,0.118539131890542,NA,30.7979797979798,"chungbuk",-1.88991656845521,-1.425251709927
"s(timeindex):regionchungbuk","TPRS","region",-1.75371655172386,0.11992156213629,NA,31.3939393939394,"chungbuk",-1.98875849448078,-1.51867460896695
"s(timeindex):regionchungbuk","TPRS","region",-1.83477990710996,0.121060079192577,NA,31.989898989899,"chungbuk",-2.07205330229298,-1.59750651192694
"s(timeindex):regionchungbuk","TPRS","region",-1.89421147668981,0.120591885469893,NA,32.5858585858586,"chungbuk",-2.13056722903858,-1.65785572434104
"s(timeindex):regionchungbuk","TPRS","region",-1.92914758520967,0.119029882029382,NA,33.1818181818182,"chungbuk",-2.16244186707131,-1.69585330334803
"s(timeindex):regionchungbuk","TPRS","region",-1.93952581731521,0.117588504954762,NA,33.7777777777778,"chungbuk",-2.16999505202245,-1.70905658260797
"s(timeindex):regionchungbuk","TPRS","region",-1.92840602082023,0.117142709061448,NA,34.3737373737374,"chungbuk",-2.15800151163213,-1.69881053000834
"s(timeindex):regionchungbuk","TPRS","region",-1.89984301699155,0.117335487105612,NA,34.969696969697,"chungbuk",-2.12981634582701,-1.66986968815608
"s(timeindex):regionchungbuk","TPRS","region",-1.85810555721854,0.117205208016273,NA,35.5656565656566,"chungbuk",-2.08782354373096,-1.62838757070612
"s(timeindex):regionchungbuk","TPRS","region",-1.80611803300174,0.117158829432802,NA,36.1616161616162,"chungbuk",-2.03574511916091,-1.57649094684258
"s(timeindex):regionchungbuk","TPRS","region",-1.74592305239313,0.118020041414507,NA,36.7575757575758,"chungbuk",-1.97723808301949,-1.51460802176678
"s(timeindex):regionchungbuk","TPRS","region",-1.67873818256256,0.120063933356766,NA,37.3535353535353,"chungbuk",-1.91405916778404,-1.44341719734108
"s(timeindex):regionchungbuk","TPRS","region",-1.60677224234978,0.122039419982803,NA,37.9494949494949,"chungbuk",-1.84596511021023,-1.36757937448933
"s(timeindex):regionchungbuk","TPRS","region",-1.53364738146337,0.122097230908891,NA,38.5454545454545,"chungbuk",-1.77295355665687,-1.29434120626987
"s(timeindex):regionchungbuk","TPRS","region",-1.46591219001327,0.120218244175581,NA,39.1414141414141,"chungbuk",-1.70153561888205,-1.23028876114449
"s(timeindex):regionchungbuk","TPRS","region",-1.41169761086446,0.117833465780818,NA,39.7373737373737,"chungbuk",-1.6426469599684,-1.18074826176053
"s(timeindex):regionchungbuk","TPRS","region",-1.3803201533094,0.116967502930971,NA,40.3333333333333,"chungbuk",-1.60957224641569,-1.15106806020312
"s(timeindex):regionchungbuk","TPRS","region",-1.37911255897627,0.117905949277561,NA,40.9292929292929,"chungbuk",-1.6102039731233,-1.14802114482925
"s(timeindex):regionchungbuk","TPRS","region",-1.412463847567,0.119041400378097,NA,41.5252525252525,"chungbuk",-1.64578070497728,-1.17914699015672
"s(timeindex):regionchungbuk","TPRS","region",-1.47833061563583,0.119395704271962,NA,42.1212121212121,"chungbuk",-1.71234189591767,-1.24431933535399
"s(timeindex):regionchungbuk","TPRS","region",-1.56966722894539,0.119233075311881,NA,42.7171717171717,"chungbuk",-1.80335976232263,-1.33597469556815
"s(timeindex):regionchungbuk","TPRS","region",-1.67329629462962,0.119925020404886,NA,43.3131313131313,"chungbuk",-1.90834501546843,-1.43824757379081
"s(timeindex):regionchungbuk","TPRS","region",-1.77383040355466,0.121640256756683,NA,43.9090909090909,"chungbuk",-2.01224092586796,-1.53541988124136
"s(timeindex):regionchungbuk","TPRS","region",-1.85523481263686,0.12283462173801,NA,44.5050505050505,"chungbuk",-2.09598624729796,-1.61448337797576
"s(timeindex):regionchungbuk","TPRS","region",-1.90564304540941,0.122375926913824,NA,45.1010101010101,"chungbuk",-2.14549545473521,-1.66579063608361
"s(timeindex):regionchungbuk","TPRS","region",-1.91803173845388,0.120498551853755,NA,45.6969696969697,"chungbuk",-2.15420456027647,-1.68185891663129
"s(timeindex):regionchungbuk","TPRS","region",-1.8933525514085,0.119186101509245,NA,46.2929292929293,"chungbuk",-2.12695301782435,-1.65975208499264
"s(timeindex):regionchungbuk","TPRS","region",-1.83860564442655,0.119522371814251,NA,46.8888888888889,"chungbuk",-2.07286518852928,-1.60434610032381
"s(timeindex):regionchungbuk","TPRS","region",-1.76603347726287,0.120324865129308,NA,47.4848484848485,"chungbuk",-2.00186587936096,-1.53020107516479
"s(timeindex):regionchungbuk","TPRS","region",-1.68981816877736,0.119893545203075,NA,48.0808080808081,"chungbuk",-1.92480519935422,-1.45483113820051
"s(timeindex):regionchungbuk","TPRS","region",-1.62357111539398,0.11778816683303,NA,48.6767676767677,"chungbuk",-1.85443168019171,-1.39271055059624
"s(timeindex):regionchungbuk","TPRS","region",-1.57724610566487,0.116123199699281,NA,49.2727272727273,"chungbuk",-1.80484339484502,-1.34964881648473
"s(timeindex):regionchungbuk","TPRS","region",-1.55602908662879,0.116745018308673,NA,49.8686868686869,"chungbuk",-1.78484511788825,-1.32721305536932
"s(timeindex):regionchungbuk","TPRS","region",-1.55979682217985,0.11883840578998,NA,50.4646464646465,"chungbuk",-1.79271581750837,-1.32687782685134
"s(timeindex):regionchungbuk","TPRS","region",-1.58317477329074,0.119953425510407,NA,51.0606060606061,"chungbuk",-1.81827916711335,-1.34807037946814
"s(timeindex):regionchungbuk","TPRS","region",-1.61738856451976,0.118597443163245,NA,51.6565656565657,"chungbuk",-1.84983528177826,-1.38494184726127
"s(timeindex):regionchungbuk","TPRS","region",-1.65058706532209,0.116694357454565,NA,52.2525252525252,"chungbuk",-1.87930380313208,-1.4218703275121
"s(timeindex):regionchungbuk","TPRS","region",-1.66936365926859,0.117003134226209,NA,52.8484848484848,"chungbuk",-1.89868558843027,-1.44004173010692
"s(timeindex):regionchungbuk","TPRS","region",-1.65898188243096,0.119621184336519,NA,53.4444444444444,"chungbuk",-1.89343509551856,-1.42452866934335
"s(timeindex):regionchungbuk","TPRS","region",-1.6036407783299,0.121661953034675,NA,54.040404040404,"chungbuk",-1.84209382456667,-1.36518773209313
